# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abettor	abetter
enrollments	enrolments
enrolls	enrols
enthrall	enthral
enthrallment	enthralment
enthrallment's	enthralment's
enthrallments	enthralments
enthralls	enthrals
eon	aeon
eon's	aeon's
eons	aeons
epaulet	epaulette
epaulet's	epaulette's
epaulets	epaulettes
epicenter	epicentre
epicenter's	epicentre's
epicenters	epicentres
epitomize	epitomise
epitomized	epitomised
epitomizes	epitomises
epitomizing	epitomising
equaled	equalled
equaling	equalling
equalization	equalisation
equalization's	equalisation's
equalizations	equalisations
equalize	equalise
equalized	equalised
equalizer	equaliser
equalizer's	equaliser's
equalizers	equalisers
equalizes	equalises
equalizing	equalising
equalizings	equalisings
esophagi	oesophagi
esophagus	oesophagus
esthetician	aesthetician
esthetician's	aesthetician's
estheticians	aestheticians
estival	aestival
estivate	aestivate
estivated	aestivated
estivates	aestivates
estivating	aestivating
estivation	aestivation
estivation's	aestivation's
estivations	aestivations
estrogen	oestrogen
estrogen's	oestrogen's
estrogenic	oestrogenic
estrogens	oestrogens
estrous	oestrous
estrus	oestrus
estrus's	oestrus's
estruses	oestruses
eternalize	eternalise
eternalized	eternalised
eternalizes	eternalises
eternalizing	eternalising
etherize	etherise
etherized	etherised
etherizes	etherises
etherizing	etherising
etiologically	aetiologically
etiology	aetiology
etiology's	aetiology's
etymologize	etymologise
etymologized	etymologised
etymologizes	etymologises
etymologizing	etymologising
eulogize	eulogise
eulogized	eulogised
eulogizes	eulogises
eulogizing	eulogising
euphemize	euphemise
euphemized	euphemised
euphemizes	euphemises
euphemizing	euphemising
europeanize	europeanise
europeanized	europeanised
europeanizes	europeanises
europeanizing	europeanising
evangelization	evangelisation
evangelization's	evangelisation's
evangelizations	evangelisations
evangelize	evangelise
evangelized	evangelised
evangelizer	evangeliser
evangelizer's	evangeliser's
evangelizers	evangelisers
evangelizes	evangelises
evangelizing	evangelising
eviler	eviller
evilest	evillest
extemporization	extemporisation
extemporization's	extemporisation's
extemporizations	extemporisations
extemporize	extemporise
extemporized	extemporised
extemporizes	extemporises
extemporizing	extemporising
exteriorize	exteriorise
exteriorized	exteriorised
exteriorizes	exteriorises
exteriorizing	exteriorising
externalization	externalisation
externalization's	externalisation's
externalizations	externalisations
externalize	externalise
externalized	externalised
externalizes	externalises
externalizing	externalising
factorization	factorisation
factorization's	factorisation's
factorizations	factorisations
factorize	factorise
factorized	factorised
factorizes	factorises
factorizing	factorising
fagot	faggot
fagot's	faggot's
fagoted	faggoted
fagoting	faggoting
fagots	faggots
familiarization	familiarisation
familiarization's	familiarisation's
familiarizations	familiarisations
familiarize	familiarise
familiarized	familiarised
familiarizes	familiarises
familiarizing	familiarising
fantasize	fantasise
fantasized	fantasised
fantasizes	fantasises
fantasizing	fantasising
favor	favour
favor's	favour's
favorable	favourable
favorable's	favourable's
favorableness	favourableness
favorableness's	favourableness's
favorablenesses	favourablenesses
favorabler	favourabler
favorables	favourables
favorablest	favourablest
favorablier	favourablier
favorabliest	favourabliest
favorably	favourably
favored	favoured
favored's	favoured's
favoreds	favoureds
favoring	favouring
favoring's	favouring's
favorings	favourings
favorite	favourite
favorite's	favourite's
favoriter	favouriter
favorites	favourites
favoritest	favouritest
favoritism	favouritism
favoritism's	favouritism's
favoritisms	favouritisms
favors	favours
fecal	faecal
feces	faeces
feces's	faeces's
federalization	federalisation
federalization's	federalisation's
federalizations	federalisations
federalize	federalise
federalized	federalised
federalizes	federalises
federalizing	federalising
feminization	feminisation
feminization's	feminisation's
feminizations	feminisations
feminize	feminise
feminized	feminised
feminizes	feminises
feminizing	feminising
fertilizable	fertilisable
fertilizable's	fertilisable's
fertilizabler	fertilisabler
fertilizables	fertilisables
fertilizablest	fertilisablest
fertilization	fertilisation
fertilization's	fertilisation's
fertilizations	fertilisations
fertilize	fertilise
fertilized	fertilised
fertilizer	fertiliser
fertilizer's	fertiliser's
fertilizers	fertilisers
fertilizes	fertilises
fertilizing	fertilising
fervor	fervour
fervor's	fervour's
fervors	fervours
fiber	fibre
fiber's	fibre's
fiberboard	fibreboard
fiberboard's	fibreboard's
fiberboards	fibreboards
fiberfill	fibrefill
fiberfill's	fibrefill's
fiberfills	fibrefills
fiberglass	fibreglass
fiberglass's	fibreglass's
fiberglasses	fibreglasses
fibers	fibres
fictionalization	fictionalisation
fictionalization's	fictionalisation's
fictionalizations	fictionalisations
fictionalize	fictionalise
fictionalized	fictionalised
fictionalizes	fictionalises
fictionalizing	fictionalising
finalization	finalisation
finalization's	finalisation's
finalizations	finalisations
finalize	finalise
finalized	finalised
finalizes	finalises
finalizing	finalising
flanneled	flannelled
flanneling	flannelling
flavor	flavour
flavor's	flavour's
flavored	flavoured
flavorful	flavourful
flavorfuler	flavourfuler
flavorfulest	flavourfulest
flavoring	flavouring
flavoring's	flavouring's
flavorings	flavourings
flavorless	flavourless
flavorlesser	flavourlesser
flavorlessest	flavourlessest
flavors	flavours
flavorsome	flavoursome
flavorsomer	flavoursomer
flavorsomest	flavoursomest
flier	flyer
flier's	flyer's
fliers	flyers
fluidize	fluidise
fluidized	fluidised
fluidizes	fluidises
fluidizing	fluidising
flutist	flautist
flutist's	flautist's
flutists	flautists
focalize	focalise
focalized	focalised
focalizes	focalises
focalizing	focalising
fogies	fogeys
fogy	fogey
fogy's	fogey's
fontanel	fontanelle
fontanel's	fontanelle's
fontanels	fontanelles
forgather	foregather
forgathered	foregathered
forgathering	foregathering
forgathers	foregathers
formalization	formalisation
formalization's	formalisation's
formalizations	formalisations
formalize	formalise
formalized	formalised
formalizes	formalises
formalizing	formalising
fossilization	fossilisation
fossilization's	fossilisation's
fossilizations	fossilisations
fossilize	fossilise
fossilized	fossilised
fossilizes	fossilises
fossilizing	fossilising
fraternization	fraternisation
fraternization's	fraternisation's
fraternizations	fraternisations
fraternize	fraternise
fraternized	fraternised
fraternizes	fraternises
fraternizing	fraternising
fueled	fuelled
fueling	fuelling
fulfill	fulfil
fulfillment	fulfilment
fulfillment's	fulfilment's
fulfillments	fulfilments
fulfills	fulfils
funneled	funnelled
funneling	funnelling
furor	furore
furor's	furore's
furors	furores
gallicize	gallicise
gallicized	gallicised
gallicizes	gallicises
gallicizing	gallicising
galvanization	galvanisation
galvanization's	galvanisation's
galvanizations	galvanisations
galvanize	galvanise
galvanized	galvanised
galvanizer	galvaniser
galvanizer's	galvaniser's
galvanizers	galvanisers
galvanizes	galvanises
galvanizing	galvanising
gamboled	gambolled
gamboling	gambolling
gelatinize	gelatinise
gelatinized	gelatinised
gelatinizes	gelatinises
gelatinizing	gelatinising
gemologies	gemmologies
gemology	gemmology
gemology's	gemmology's
generalizable	generalisable
generalizable's	generalisable's
generalizabler	generalisabler
generalizables	generalisables
generalizablest	generalisablest
generalization	generalisation
generalization's	generalisation's
generalizations	generalisations
generalize	generalise
generalized	generalised
generalizes	generalises
generalizing	generalising
ghettoization	ghettoisation
ghettoization's	ghettoisation's
ghettoizations	ghettoisations
ghettoize	ghettoise
ghettoized	ghettoised
ghettoizes	ghettoises
ghettoizing	ghettoising
gibe	jibe
gibe's	jibe's
gibed	jibed
gibes	jibes
gibing	jibing
glamorization	glamorisation
glamorization's	glamorisation's
glamorizations	glamorisations
glamorize	glamorise
glamorized	glamorised
glamorizes	glamorises
glamorizing	glamorising
globalization	globalisation
globalization's	globalisation's
globalizations	globalisations
globalize	globalise
globalized	globalised
globalizes	globalises
globalizing	globalising
glycerin	glycerine
glycerin's	glycerine's
glycerins	glycerines
gobbledygook	gobbledegook
gobbledygook's	gobbledegook's
gobbledygooks	gobbledegooks
goiter	goitre
goiter's	goitre's
goiters	goitres
gonorrhea	gonorrhoea
gonorrhea's	gonorrhoea's
gonorrheal	gonorrhoeal
gonorrhealer	gonorrhoealer
gonorrhealest	gonorrhoealest
gonorrheas	gonorrhoeas
graphitize	graphitise
graphitized	graphitised
graphitizes	graphitises
graphitizing	graphitising
graveled	gravelled
graveling	gravelling
gray	grey
gray's	grey's
grayed	greyed
grayer	greyer
grayest	greyest
graying	greying
grayish	greyish
grayness	greyness
grayness's	greyness's
grays	greys
grecism	graecism
groined	groyned
groining	groyning
groveled	grovelled
groveler	groveller
groveler's	groveller's
grovelers	grovellers
groveling	grovelling
grovelinglier	grovellinglier
grovelingliest	grovellingliest
grovelingly	grovellingly
grueled	gruelled
grueling	gruelling
grueling's	gruelling's
gruelingly	gruellingly
gruelings	gruellings
gynecological	gynaecological
gynecological's	gynaecological's
gynecologicaler	gynaecologicaler
gynecologicalest	gynaecologicalest
gynecologicals	gynaecologicals
gynecologies	gynaecologies
gynecologist	gynaecologist
gynecologist's	gynaecologist's
gynecologists	gynaecologists
gynecology	gynaecology
gynecology's	gynaecology's
gynecomastia	gynaecomastia
gynecomastia's	gynaecomastia's
gynecomastias	gynaecomastias
hankie	hanky
hankie's	hanky's
harbor	harbour
harbor's	harbour's
harbored	harboured
harboring	harbouring
harbors	harbours
harmonization	harmonisation
harmonization's	harmonisation's
harmonizations	harmonisations
harmonize	harmonise
harmonized	harmonised
harmonizer	harmoniser
harmonizer's	harmoniser's
harmonizers	harmonisers
harmonizes	harmonises
harmonizing	harmonising
hebraize	hebraise
hebraized	hebraised
hebraizes	hebraises
hebraizing	hebraising
hectoliter	hectolitre
hectoliter's	hectolitre's
hectoliters	hectolitres
hectometer	hectometre
hectometer's	hectometre's
hectometers	hectometres
hellenize	hellenise
hellenized	hellenised
hellenizes	hellenises
hellenizing	hellenising
hemal	haemal
hematite	haematite
hematite's	haematite's
hematites	haematites
hematocele	haematocele
hematocele's	haematocele's
hematologic	haematologic
hematological	haematological
hematologies	haematologies
hematologist	haematologist
hematologist's	haematologist's
hematologists	haematologists
hematology	haematology
hematology's	haematology's
hematoxylin	haematoxylin
hematoxylin's	haematoxylin's
hematoxylins	haematoxylins
hematuria	haematuria
hematuria's	haematuria's
hematurias	haematurias
hemodialyses	haemodialyses
hemodialysis	haemodialysis
hemodialysis's	haemodialysis's
hemoglobin	haemoglobin
hemoglobin's	haemoglobin's
hemophilia	haemophilia
hemophilia's	haemophilia's
hemophiliac	haemophiliac
hemophiliac's	haemophiliac's
hemophiliacs	haemophiliacs
hemophilic	haemophilic
hemorrhage	haemorrhage
hemorrhage's	haemorrhage's
hemorrhaged	haemorrhaged
hemorrhages	haemorrhages
hemorrhaging	haemorrhaging
hemorrhoid	haemorrhoid
hemorrhoidal	haemorrhoidal
hemorrhoids	haemorrhoids
hippie	hippy
hippie's	hippy's
homogenization	homogenisation
homogenization's	homogenisation's
homogenizations	homogenisations
homogenize	homogenise
homogenized	homogenised
homogenizer	homogeniser
homogenizer's	homogeniser's
homogenizers	homogenisers
homogenizes	homogenises
homogenizing	homogenising
homologize	homologise
homologized	homologised
homologizes	homologises
homologizing	homologising
honor	honour
honor's	honour's
honorable	honourable
honorable's	honourable's
honorableness	honourableness
honorableness's	honourableness's
honorablenesses	honourablenesses
honorabler	honourabler
honorables	honourables
honorablest	honourablest
honorablier	honourablier
honorablies	honourablies
honorabliest	honourabliest
honorably	honourably
honored	honoured
honoring	honouring
honors	honours
hospitalization	hospitalisation
hospitalization's	hospitalisation's
hospitalizations	hospitalisations
hospitalize	hospitalise
hospitalized	hospitalised
hospitalizes	hospitalises
hospitalizing	hospitalising
humanization	humanisation
humanization's	humanisation's
humanizations	humanisations
humanize	humanise
humanized	humanised
humanizes	humanises
humanizing	humanising
humor	humour
humor's	humour's
humored	humoured
humoring	humouring
humorless	humourless
humorlesser	humourlesser
humorlessest	humourlessest
humorlessness	humourlessness
humorlessness's	humourlessness's
humorlessnesses	humourlessnesses
humors	humours
hybridization	hybridisation
hybridization's	hybridisation's
hybridizations	hybridisations
hybridize	hybridise
hybridized	hybridised
hybridizer	hybridiser
hybridizer's	hybridiser's
hybridizers	hybridisers
hybridizes	hybridises
hybridizing	hybridising
hydrolyze	hydrolyse
hydrolyzed	hydrolysed
hydrolyzes	hydrolyses
hydrolyzing	hydrolysing
hypnotizable	hypnotisable
hypnotizable's	hypnotisable's
hypnotizabler	hypnotisabler
hypnotizables	hypnotisables
hypnotizablest	hypnotisablest
hypnotize	hypnotise
hypnotized	hypnotised
hypnotizes	hypnotises
hypnotizing	hypnotising
hypothesize	hypothesise
hypothesized	hypothesised
hypothesizes	hypothesises
hypothesizing	hypothesising
idealization	idealisation
idealization's	idealisation's
idealizations	idealisations
idealize	idealise
idealized	idealised
idealizes	idealises
idealizing	idealising
idolization	idolisation
idolization's	idolisation's
idolizations	idolisations
idolize	idolise
idolized	idolised
idolizer	idoliser
idolizer's	idoliser's
idolizers	idolisers
idolizes	idolises
idolizing	idolising
immobilization	immobilisation
immobilization's	immobilisation's
immobilizations	immobilisations
immobilize	immobilise
immobilized	immobilised
immobilizer	immobiliser
immobilizers	immobilisers
immobilizes	immobilises
immobilizing	immobilising
immortalize	immortalise
immortalized	immortalised
immortalizes	immortalises
immortalizing	immortalising
immunization	immunisation
immunization's	immunisation's
immunizations	immunisations
immunize	immunise
immunized	immunised
immunizes	immunises
immunizing	immunising
impaneled	impanelled
impaneling	impanelling
imperiled	imperilled
imperiling	imperilling
incentivize	incentivise
incentivized	incentivised
incentivizes	incentivises
incentivizing	incentivising
incognizant	incognisant
individualization	individualisation
individualization's	individualisation's
individualizations	individualisations
individualize	individualise
individualized	individualised
individualizes	individualises
individualizing	individualising
indraft	indraught
indraft's	indraught's
indrafts	indraughts
industrialization	industrialisation
industrialization's	industrialisation's
industrializations	industrialisations
industrialize	industrialise
industrialized	industrialised
industrializes	industrialises
industrializing	industrialising
inflection	inflexion
inflection's	inflexion's
inflections	inflexions
initialed	initialled
initialing	initialling
initialization	initialisation
initialization's	initialisation's
initializations	initialisations
initialize	initialise
initialized	initialised
initializes	initialises
initializing	initialising
inquire	enquire
inquired	enquired
inquires	enquires
inquiries	enquiries
inquiring	enquiring
inquiry	enquiry
inquiry's	enquiry's
installment	instalment
installment's	instalment's
installments	instalments
instill	instil
instills	instils
institutionalization	institutionalisation
institutionalization's	institutionalisation's
institutionalizations	institutionalisations
institutionalize	institutionalise
institutionalized	institutionalised
institutionalizes	institutionalises
institutionalizing	institutionalising
intellectualize	intellectualise
intellectualized	intellectualised
intellectualizes	intellectualises
intellectualizing	intellectualising
interiorize	interiorise
interiorized	interiorised
interiorizes	interiorises
interiorizing	interiorising
internalization	internalisation
internalization's	internalisation's
internalizations	internalisations
internalize	internalise
internalized	internalised
internalizes	internalises
internalizing	internalising
internationalization	internationalisation
internationalization's	internationalisation's
internationalizations	internationalisations
internationalize	internationalise
internationalized	internationalised
internationalizes	internationalises
internationalizing	internationalising
iodize	iodise
iodized	iodised
iodizes	iodises
iodizing	iodising
ionizable	ionisable
ionizable's	ionisable's
ionizabler	ionisabler
ionizables	ionisables
ionizablest	ionisablest
ionization	ionisation
ionization's	ionisation's
ionizations	ionisations
ionize	ionise
ionized	ionised
ionizes	ionises
ionizing	ionising
ionizings	ionisings
ischemia	ischaemia
ischemia's	ischaemia's
ischemias	ischaemias
ischemic	ischaemic
italicization	italicisation
italicization's	italicisation's
italicizations	italicisations
italicize	italicise
italicized	italicised
italicizes	italicises
italicizing	italicising
itemization	itemisation
itemization's	itemisation's
itemizations	itemisations
itemize	itemise
itemized	itemised
itemizes	itemises
itemizing	itemising
jargonize	jargonise
jargonized	jargonised
jargonizes	jargonises
jargonizing	jargonising
jeopardize	jeopardise
jeopardized	jeopardised
jeopardizes	jeopardises
jeopardizing	jeopardising
jeweled	jewelled
jeweler	jeweller
jeweler's	jeweller's
jewelers	jewellers
jeweling	jewelling
jewelry	jewellery
jewelry's	jewellery's
jibe's	gybe's
judgment	judgement
judgment's	judgement's
judgmental	judgemental
judgmentaler	judgementaler
judgmentalest	judgementalest
judgments	judgements
kenneled	kennelled
kenneling	kennelling
keratinize	keratinise
keratinized	keratinised
keratinizes	keratinises
keratinizing	keratinising
kiloliter	kilolitre
kiloliter's	kilolitre's
kiloliters	kilolitres
kilometer	kilometre
kilometer's	kilometre's
kilometers	kilometres
kindergartner	kindergartener
kindergartner's	kindergartener's
kindergartners	kindergarteners
kinesthesia	kinaesthesia
kinesthesia's	kinaesthesia's
kinesthesias	kinaesthesias
kinesthetic	kinaesthetic
kinestheticer	kinaestheticer
kinestheticest	kinaestheticest
kinesthetics	kinaesthetics
labeled	labelled
labeler	labeller
labeler's	labeller's
labelers	labellers
labeling	labelling
labialize	labialise
labialized	labialised
labializes	labialises
labializing	labialising
labor	labour
labor's	labour's
labored	laboured
laborer	labourer
laborer's	labourer's
laborers	labourers
laboring	labouring
laboring's	labouring's
laborings	labourings
labors	labours
lackluster	lacklustre
lackluster's	lacklustre's
lacklusterrer	lacklustrer
lacklusterrest	lacklustrest
lacklusters	lacklustres
laicize	laicise
laicized	laicised
laicizes	laicises
laicizing	laicising
latinize	latinise
learned	learnt
legalization	legalisation
legalization's	legalisation's
legalizations	legalisations
legalize	legalise
legalized	legalised
legalizes	legalises
legalizing	legalising
legitimization	legitimisation
legitimization's	legitimisation's
legitimizations	legitimisations
legitimize	legitimise
legitimized	legitimised
legitimizes	legitimises
legitimizing	legitimising
leukemia	leukaemia
leukemia's	leukaemia's
leukemias	leukaemias
leveled	levelled
leveler	leveller
leveler's	leveller's
levelers	levellers
levelest	levellest
leveling	levelling
leveling's	levelling's
libeled	libelled
libeler	libeller
libeler's	libeller's
libelers	libellers
libeling	libelling
libelous	libellous
libelouser	libellouser
libelousest	libellousest
liberalization	liberalisation
liberalization's	liberalisation's
liberalizations	liberalisations
liberalize	liberalise
liberalized	liberalised
liberalizes	liberalises
liberalizing	liberalising
license's	licence's
likabilities	likeabilities
likability	likeability
likability's	likeability's
likable	likeable
likableness	likeableness
likableness's	likeableness's
likablenesses	likeablenesses
linearize	linearise
linearized	linearised
linearizes	linearises
linearizing	linearising
lionization	lionisation
lionization's	lionisation's
lionizations	lionisations
lionize	lionise
lionized	lionised
lionizer	lioniser
lionizer's	lioniser's
lionizers	lionisers
lionizes	lionises
lionizing	lionising
liquidize	liquidise
liquidized	liquidised
liquidizer	liquidiser
liquidizer's	liquidiser's
liquidizers	liquidisers
liquidizes	liquidises
liquidizing	liquidising
lissome	lissom
lissomeness	lissomness
lissomenesses	lissomnesses
liter	litre
liter's	litre's
literalize	literalise
literalized	literalised
literalizes	literalises
literalizing	literalising
liters	litres
livable	liveable
lobotomize	lobotomise
lobotomized	lobotomised
lobotomizes	lobotomises
lobotomizing	lobotomising
localization	localisation
localization's	localisation's
localizations	localisations
localize	localise
localized	localised
localizes	localises
localizing	localising
logorrhea	logorrhoea
logorrhea's	logorrhoea's
logorrheas	logorrhoeas
louver	louvre
louver's	louvre's
louvered	louvred
louvers	louvres
lupine's	lupin's
lupines	lupins
luster	lustre
luster's	lustre's
lustered	lustred
lustering	lustring
lustering's	lustring's
lusterless	lustreless
lusterlesser	lustrelesser
lusterlessest	lustrelessest
lusters	lustres
lusterware	lustreware
lusterware's	lustreware's
lusterwares	lustrewares
lyophilize	lyophilise
lyophilized	lyophilised
lyophilizes	lyophilises
lyophilizing	lyophilising
magnetization	magnetisation
magnetization's	magnetisation's
magnetizations	magnetisations
magnetize	magnetise
magnetized	magnetised
magnetizes	magnetises
magnetizing	magnetising
maneuver	manoeuvre
maneuver's	manoeuvre's
maneuverabilities	manoeuvrabilities
maneuverability	manoeuvrability
maneuverability's	manoeuvrability's
maneuverable	manoeuvrable
maneuverabler	manoeuvrabler
maneuverablest	manoeuvrablest
maneuvered	manoeuvred
maneuvering	manoeuvring
maneuverings	manoeuvrings
maneuvers	manoeuvres
manila	manilla
manila's	manilla's
marbleize	marbleise
marbleized	marbleised
marbleizes	marbleises
marbleizing	marbleising
marginalization	marginalisation
marginalize	marginalise
marginalized	marginalised
marginalizes	marginalises
marginalizing	marginalising
marshaled	marshalled
marshaling	marshalling
marveled	marvelled
marveling	marvelling
marvelous	marvellous
marvelouser	marvellouser
marvelousest	marvellousest
marvelouslier	marvellouslier
marvelousliest	marvellousliest
marvelously	marvellously
marvelousness	marvellousness
marvelousness's	marvellousness's
marvelousnesses	marvellousnesses
materialization	materialisation
materialization's	materialisation's
materializations	materialisations
materialize	materialise
materialized	materialised
materializes	materialises
materializing	materialising
maximization	maximisation
maximization's	maximisation's
maximizations	maximisations
maximize	maximise
maximized	maximised
maximizer	maximiser
maximizer's	maximiser's
maximizers	maximisers
maximizes	maximises
maximizing	maximising
meager	meagre
meagerrer	meagrer
meagerrest	meagrest
mechanization	mechanisation
mechanization's	mechanisation's
mechanizations	mechanisations
mechanize	mechanise
mechanized	mechanised
mechanizer	mechaniser
mechanizer's	mechaniser's
mechanizers	mechanisers
mechanizes	mechanises
mechanizing	mechanising
medalist	medallist
medalist's	medallist's
medalists	medallists
melodize	melodise
melodized	melodised
melodizes	melodises
melodizing	melodising
melodramatize	melodramatise
melodramatized	melodramatised
melodramatizes	melodramatises
melodramatizing	melodramatising
memorialize	memorialise
memorialized	memorialised
memorializes	memorialises
memorializing	memorialising
memorization	memorisation
memorization's	memorisation's
memorizations	memorisations
memorize	memorise
memorized	memorised
memorizer	memoriser
memorizer's	memoriser's
memorizers	memorisers
memorizes	memorises
memorizing	memorising
meow	miaow
meow's	miaow's
meowed	miaowed
meowing	miaowing
meows	miaows
mercerize	mercerise
mercerized	mercerised
mercerizes	mercerises
mercerizing	mercerising
mesmerize	mesmerise
mesmerized	mesmerised
mesmerizes	mesmerises
mesmerizing	mesmerising
metabolize	metabolise
metabolized	metabolised
metabolizes	metabolises
metabolizing	metabolising
metacenter	metacentre
metacenter's	metacentre's
metacenters	metacentres
metaled	metalled
metaling	metalling
metalize	metallise
metalized	metallised
metalizes	metallises
metalizing	metallising
metastasize	metastasise
metastasized	metastasised
metastasizes	metastasises
metastasizing	metastasising
microminiaturization	microminiaturisation
microminiaturization's	microminiaturisation's
microminiaturizations	microminiaturisations
militarization	militarisation
militarization's	militarisation's
militarizations	militarisations
militarize	militarise
militarized	militarised
militarizes	militarises
militarizing	militarising
milliliter	millilitre
milliliter's	millilitre's
milliliters	millilitres
millimeter	millimetre
millimeter's	millimetre's
millimeters	millimetres
mineralization	mineralisation
mineralization's	mineralisation's
mineralizations	mineralisations
mineralize	mineralise
mineralized	mineralised
mineralizes	mineralises
mineralizing	mineralising
miniaturization	miniaturisation
miniaturization's	miniaturisation's
miniaturizations	miniaturisations
miniaturize	miniaturise
miniaturized	miniaturised
miniaturizes	miniaturises
miniaturizing	miniaturising
minimization	minimisation
minimization's	minimisation's
minimizations	minimisations
minimize	minimise
minimized	minimised
minimizer	minimiser
minimizer's	minimiser's
minimizers	minimisers
minimizes	minimises
minimizing	minimising
misbehavior	misbehaviour
misbehavior's	misbehaviour's
misbehaviors	misbehaviours
misdemeanor	misdemeanour
misdemeanor's	misdemeanour's
misdemeanors	misdemeanours
misjudgment	misjudgement
misjudgment's	misjudgement's
misjudgments	misjudgements
miter	mitre
miter's	mitre's
mitered	mitred
mitering	mitring
miters	mitres
mobilizable	mobilisable
mobilizable's	mobilisable's
mobilizabler	mobilisabler
mobilizables	mobilisables
mobilizablest	mobilisablest
mobilization	mobilisation
mobilization's	mobilisation's
mobilizations	mobilisations
mobilize	mobilise
mobilized	mobilised
mobilizer	mobiliser
mobilizer's	mobiliser's
mobilizers	mobilisers
mobilizes	mobilises
mobilizing	mobilising
modeled	modelled
modeler	modeller
modeler's	modeller's
modelers	modellers
modeling	modelling
modeling's	modelling's
modelings	modellings
modernization	modernisation
modernization's	modernisation's
modernizations	modernisations
modernize	modernise
modernized	modernised
modernizer	moderniser
modernizer's	moderniser's
modernizers	modernisers
modernizes	modernises
modernizing	modernising
moggy	moggie
moggy's	moggie's
moisturize	moisturise
moisturized	moisturised
moisturizer	moisturiser
moisturizer's	moisturiser's
moisturizers	moisturisers
moisturizes	moisturises
moisturizing	moisturising
mold	mould
mold's	mould's
molded	moulded
molder	moulder
molder's	moulder's
moldered	mouldered
moldering	mouldering
molders	moulders
moldier	mouldier
moldiest	mouldiest
molding	moulding
molding's	moulding's
moldings	mouldings
molds	moulds
moldy	mouldy
mollusk	mollusc
mollusk's	mollusc's
mollusks	molluscs
molt	moult
molt's	moult's
molted	moulted
molting	moulting
molts	moults
monetization	monetisation
monetization's	monetisation's
monetizations	monetisations
mongrelize	mongrelise
mongrelized	mongrelised
mongrelizes	mongrelises
mongrelizing	mongrelising
monopolization	monopolisation
monopolization's	monopolisation's
monopolizations	monopolisations
monopolize	monopolise
monopolized	monopolised
monopolizer	monopoliser
monopolizer's	monopoliser's
monopolizers	monopolisers
monopolizes	monopolises
monopolizing	monopolising
monumentalize	monumentalise
monumentalized	monumentalised
monumentalizes	monumentalises
monumentalizing	monumentalising
moralization	moralisation
moralization's	moralisation's
moralizations	moralisations
moralize	moralise
moralized	moralised
moralizer	moraliser
moralizer's	moraliser's
moralizers	moralisers
moralizes	moralises
moralizing	moralising
moralizinglies	moralisinglies
moralizingly	moralisingly
motorization	motorisation
motorization's	motorisation's
motorizations	motorisations
motorize	motorise
motorized	motorised
motorizes	motorises
motorizing	motorising
mustache	moustache
mustache's	moustache's
mustached	moustached
mustaches	moustaches
myna	mynah
myna's	mynah's
mynas	mynahes
mythicize	mythicise
mythicized	mythicised
mythicizes	mythicises
mythicizing	mythicising
mythologize	mythologise
mythologized	mythologised
mythologizes	mythologises
mythologizing	mythologising
mythopeic	mythopoeic
myxedema	myxoedema
myxedema's	myxoedema's
myxedemas	myxoedemas
nanometer	nanometre
nanometer's	nanometre's
nanometers	nanometres
narcotize	narcotise
narcotized	narcotised
narcotizes	narcotises
narcotizing	narcotising
nasalization	nasalisation
nasalization's	nasalisation's
nasalizations	nasalisations
nasalize	nasalise
nasalized	nasalised
nasalizes	nasalises
nasalizing	nasalising
nationalization	nationalisation
nationalization's	nationalisation's
nationalizations	nationalisations
nationalize	nationalise
nationalized	nationalised
nationalizes	nationalises
nationalizing	nationalising
naturalization	naturalisation
naturalization's	naturalisation's
naturalizations	naturalisations
naturalize	naturalise
naturalized	naturalised
naturalizes	naturalises
naturalizing	naturalising
naught	nought
naught's	nought's
naughts	noughts
nebulize	nebulise
nebulized	nebulised
nebulizer	nebuliser
nebulizer's	nebuliser's
nebulizers	nebulisers
nebulizes	nebulises
nebulizing	nebulising
neighbor	neighbour
neighbor's	neighbour's
neighbored	neighboured
neighborhood	neighbourhood
neighborhood's	neighbourhood's
neighborhoods	neighbourhoods
neighboring	neighbouring
neighborings	neighbourings
neighborlier	neighbourlier
neighborliest	neighbourliest
neighborliness	neighbourliness
neighborliness's	neighbourliness's
neighborlinesses	neighbourlinesses
neighborly	neighbourly
neighbors	neighbours
neologize	neologise
neologized	neologised
neologizes	neologises
neologizing	neologising
neutralization	neutralisation
neutralization's	neutralisation's
neutralizations	neutralisations
neutralize	neutralise
neutralized	neutralised
neutralizer	neutraliser
neutralizer's	neutraliser's
neutralizers	neutralisers
neutralizes	neutralises
neutralizing	neutralising
niter	nitre
niter's	nitre's
niters	nitres
nitroglycerin	nitroglycerine
nitroglycerin's	nitroglycerine's
nitroglycerins	nitroglycerines
normalization	normalisation
normalization's	normalisation's
normalizations	normalisations
normalize	normalise
normalized	normalised
normalizer	normaliser
normalizer's	normaliser's
normalizers	normalisers
normalizes	normalises
normalizing	normalising
notarize	notarise
notarized	notarised
notarizes	notarises
notarizing	notarising
novelization	novelisation
novelization's	novelisation's
novelizations	novelisations
novelize	novelise
novelized	novelised
novelizes	novelises
novelizing	novelising
numskull	numbskull
numskull's	numbskull's
numskulls	numbskulls
objectivize	objectivise
objectivized	objectivised
objectivizes	objectivises
objectivizing	objectivising
